tilsynsobjektid;orgnummer;navn;adrlinje1;adrlinje2;postnr;poststed;tilsynid;sakref;status;dato;total_karakter;tilsynsbesoektype;tema1_no;tema1_nn;karakter1;tema2_no;tema2_nn;karakter2;tema3_no;tema3_nn;karakter3;tema4_no;tema4_nn;karakter4
Z1006050041483221127JZWIJ_Tilsynsobjekt;994595741;Peppes Pizza Alta ;ALTA STORSENTER;;9515;ALTA;Z1602190900371460239XDOSW_TilsynAvtale;2016/37315;1;19022016;0;1;Rutiner og ledelse;Rutiner og leiing;0;Lokaler og utstyr;Lokaler og utstyr;1;Mat-håndtering og tilberedning;Mat-handtering og tillaging;0;Merking og sporbarhet;Merking og sporbarheit;0
Z1006050041484931190MFNPC_Tilsynsobjekt;980911799;Porten til Finnmark Kaffebar;Langfjord bygdetun;;9545;LANGFJORDBOTN;Z1607011402525360240HHTRP_TilsynAvtale;2016/144817;1;01072016;1;0;Rutiner og ledelse;Rutiner og leiing;1;Lokaler og utstyr;Lokaler og utstyr;0;Mat-håndtering og tilberedning;Mat-handtering og tillaging;0;Merking og sporbarhet;Merking og sporbarheit;1
Z1006050041490431127BPXNO_Tilsynsobjekt;989894226;Studenthuset City Scene AS;Markedsgata 3;;9510;ALTA;Z1602251357221030239CHJHG_TilsynAvtale;2016/42772;1;25022016;2;0;Rutiner og ledelse;Rutiner og leiing;2;Lokaler og utstyr;Lokaler og utstyr;2;Mat-håndtering og tilberedning;Mat-handtering og tillaging;1;Merking og sporbarhet;Merking og sporbarheit;0
Z1006050041490431127BPXNO_Tilsynsobjekt;989894226;Studenthuset City Scene AS;Markedsgata 3;;9510;ALTA;Z1603031028320620239MHNWR_TilsynAvtale;2016/42772;1;03032016;0;1;Rutiner og ledelse;Rutiner og leiing;0;Lokaler og utstyr;Lokaler og utstyr;1;Mat-håndtering og tilberedning;Mat-handtering og tillaging;1;Merking og sporbarhet;Merking og sporbarheit;0
Z1006050041493751189NPIPX_Tilsynsobjekt;971770740;Suolovoupmi Fjellstue AS;Suolovoupmi;;9525;Maze;Z1602010901079390239JACDJ_TilsynAvtale;2016/17310;1;29012016;2;0;Rutiner og ledelse;Rutiner og leiing;0;Lokaler og utstyr;Lokaler og utstyr;0;Mat-håndtering og tilberedning;Mat-handtering og tillaging;2;Merking og sporbarhet;Merking og sporbarheit;2
Z1006050041493751189NPIPX_Tilsynsobjekt;971770740;Suolovoupmi Fjellstue AS;Suolovoupmi;;9525;Maze;Z1602170855024020239EFOOO_TilsynAvtale;2016/17310;1;17022016;0;1;Rutiner og ledelse;Rutiner og leiing;0;Lokaler og utstyr;Lokaler og utstyr;0;Mat-håndtering og tilberedning;Mat-handtering og tillaging;1;Merking og sporbarhet;Merking og sporbarheit;0
Z1006050041496311190USSLP_Tilsynsobjekt;972126675;Thon Hotell Vica AS;Fogdebakken 6;;9513;ALTA;Z1602190840151240240EJTPX_TilsynAvtale;2016/35798;1;16022016;0;0;Rutiner og ledelse;Rutiner og leiing;0;Lokaler og utstyr;Lokaler og utstyr;0;Mat-håndtering og tilberedning;Mat-handtering og tillaging;0;Merking og sporbarhet;Merking og sporbarheit;0
Z1006050041519261127JDGOZ_Tilsynsobjekt;992382902;Thon Hotell Kautokeino;Biedjovággeluodda 2;;9520;KAUTOKEINO;Z1602031515430330239GPPEH_TilsynAvtale;2016/25133;1;03022016;2;0;Rutiner og ledelse;Rutiner og leiing;2;Lokaler og utstyr;Lokaler og utstyr;2;Mat-håndtering og tilberedning;Mat-handtering og tillaging;1;Merking og sporbarhet;Merking og sporbarheit;1
Z1006050041519261127JDGOZ_Tilsynsobjekt;992382902;Thon Hotell Kautokeino;Biedjovággeluodda 2;;9520;KAUTOKEINO;Z1602081038061650240AGVHU_TilsynAvtale;2016/25133;1;08022016;0;1;Rutiner og ledelse;Rutiner og leiing;0;Lokaler og utstyr;Lokaler og utstyr;1;Mat-håndtering og tilberedning;Mat-handtering og tillaging;1;Merking og sporbarhet;Merking og sporbarheit;1
Z1006050042100611126ZVHFP_Tilsynsobjekt;888511792;Habibs Lille Kjøkken Habibollah Qaderi;Altaveien 256;;9515;ALTA;Z1602161750424550239BJZGR_TilsynAvtale;2016/35040;1;16022016;1;0;Rutiner og ledelse;Rutiner og leiing;0;Lokaler og utstyr;Lokaler og utstyr;1;Mat-håndtering og tilberedning;Mat-handtering og tillaging;0;Merking og sporbarhet;Merking og sporbarheit;1
